City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
122,Port-Gentil,GA,2022-09-27 02:31:29,-0.7193,8.7815,76.5,85,100,11.74,Rain
123,Ilulissat,GL,2022-09-27 02:31:30,69.2167,-51.1,37.42,87,100,1.14,Rain
124,Jalu,LY,2022-09-27 02:31:30,29.0331,21.5482,75.56,45,0,6.26,Clear
125,Chokurdakh,RU,2022-09-27 02:31:30,70.6333,147.9167,32.2,61,98,15.97,Clouds
126,Petropavlovsk-Kamchatskiy,RU,2022-09-27 02:27:07,53.0452,158.6483,48.79,87,100,8.95,Clouds
127,Teya,RU,2022-09-27 02:31:31,60.3778,92.6267,32.49,68,96,1.61,Clouds
128,Avarua,CK,2022-09-27 02:31:31,-21.2078,-159.775,78.85,83,75,13.8,Clouds
129,Okha,RU,2022-09-27 02:31:31,53.5739,142.9478,48.87,61,100,21.09,Clouds
130,San Jeronimo,PE,2022-09-27 02:31:32,-11.9472,-75.2829,46.45,85,100,1.28,Clouds
131,Port Hardy,CA,2022-09-27 02:30:24,50.6996,-127.4199,60.98,88,40,6.91,Clouds
132,Maxixe,MZ,2022-09-27 02:31:32,-23.8597,35.3472,71.47,96,9,7.07,Clear
133,Warrington,GB,2022-09-27 02:31:32,53.3925,-2.5802,50.99,85,75,10.36,Rain
134,Balancan,MX,2022-09-27 02:31:33,17.8,-91.5333,73.8,93,23,5.95,Clouds
135,Pujili,EC,2022-09-27 02:31:33,-0.95,-78.6833,47.48,76,20,5.75,Clouds
136,Buchanan,LR,2022-09-27 02:31:33,5.8808,-10.0467,73.94,90,95,2.24,Clouds
137,Aklavik,CA,2022-09-27 02:32:34,68.2191,-135.0107,33.76,81,100,11.7,Clouds
138,Kruisfontein,ZA,2022-09-27 02:32:34,-34.0033,24.7314,59.88,93,100,19.3,Rain
139,Esperance,AU,2022-09-27 02:32:34,-33.8667,121.9,62.73,59,0,1.83,Clear
140,Mamallapuram,IN,2022-09-27 02:32:34,12.6264,80.1722,86.05,57,59,9.95,Clouds
141,Thinadhoo,MV,2022-09-27 02:32:35,0.5333,72.9333,81.25,76,38,14.32,Clouds
142,Vila Velha,BR,2022-09-27 02:32:35,-20.3297,-40.2925,71.55,90,75,2.3,Clouds
143,Hami,CN,2022-09-27 02:32:35,42.8,93.45,77.68,18,0,8.23,Clear
144,Raudeberg,NO,2022-09-27 02:32:36,61.9875,5.1352,45.95,1,100,10.92,Clouds
145,Upernavik,GL,2022-09-27 02:32:36,72.7868,-56.1549,36.46,69,100,6.91,Clouds
146,Sioux Lookout,CA,2022-09-27 02:30:24,50.1001,-91.917,39.27,75,75,3.44,Clouds
147,Cherskiy,RU,2022-09-27 02:32:36,68.75,161.3,35.8,46,10,5.26,Clear
148,Provideniya,RU,2022-09-27 02:32:37,64.3833,-173.3,42.91,93,100,11.18,Rain
149,Zlitan,LY,2022-09-27 02:32:37,32.4674,14.5687,82.72,50,100,6.42,Clouds
150,Bredasdorp,ZA,2022-09-27 02:32:37,-34.5322,20.0403,50.54,89,2,3.27,Clear
151,Kodiak,US,2022-09-27 02:32:37,57.79,-152.4072,47.71,76,0,0.0,Rain
152,Iralaya,HN,2022-09-27 02:32:38,15.0,-83.2333,79.79,82,69,4.56,Clouds
153,Fortuna,US,2022-09-27 02:32:38,40.5982,-124.1573,59.34,89,33,1.83,Clouds
154,Chanute,US,2022-09-27 02:32:38,37.6792,-95.4572,64.08,28,4,7.38,Clear
155,Carnarvon,AU,2022-09-27 02:32:38,-24.8667,113.6333,76.37,27,4,16.44,Clear
156,Hays,US,2022-09-27 02:32:39,30.0502,-98.0336,79.03,37,0,4.0,Clear
157,Vanimo,PG,2022-09-27 02:32:39,-2.6741,141.3028,87.08,63,43,9.1,Clouds
158,Amahai,ID,2022-09-27 02:32:39,-3.3333,128.9167,85.39,66,98,4.79,Clouds
159,El Retorno,CO,2022-09-27 02:32:40,2.3302,-72.6276,74.53,87,14,0.83,Clouds
160,Richards Bay,ZA,2022-09-27 02:32:40,-28.783,32.0377,71.29,90,99,9.31,Clouds
161,Ahipara,NZ,2022-09-27 02:32:40,-35.1667,173.1667,64.4,66,43,13.6,Clouds
162,Pailon,BO,2022-09-27 02:32:41,-17.65,-62.75,74.3,61,100,8.12,Clouds
163,Port Elizabeth,ZA,2022-09-27 02:32:41,-33.918,25.5701,62.89,88,100,20.71,Clouds
164,Uarini,BR,2022-09-27 02:32:41,-2.99,-65.1083,78.85,69,80,1.36,Clouds
165,Codrington,AU,2022-09-27 02:32:41,-38.2667,141.9667,55.54,93,97,19.6,Clouds
166,Patacamaya,BO,2022-09-27 02:32:42,-17.2333,-67.9167,43.09,78,56,6.31,Clouds
167,Khani,GE,2022-09-27 02:32:42,41.9563,42.9566,45.97,51,0,7.34,Clear
168,Saint Anthony,US,2022-09-27 02:32:42,45.0205,-93.218,55.65,64,0,5.75,Clear
169,Concarneau,FR,2022-09-27 02:32:43,47.875,-3.9225,56.19,84,74,11.81,Clouds
170,Alta Floresta,BR,2022-09-27 02:32:43,-9.8756,-56.0861,71.33,88,61,4.9,Clouds
171,Shenjiamen,CN,2022-09-27 02:32:43,29.9576,122.298,74.73,74,90,11.05,Clouds
172,Fuling,CN,2022-09-27 02:32:43,29.7022,107.3919,67.68,96,100,1.52,Clouds
173,Tautira,PF,2022-09-27 02:32:44,-17.7333,-149.15,77.5,75,10,13.42,Clear
174,Najran,SA,2022-09-27 02:32:44,17.4924,44.1277,70.29,27,24,1.86,Clouds
175,Narasannapeta,IN,2022-09-27 02:32:44,18.4167,84.05,82.53,77,89,3.13,Clouds
176,Caravelas,BR,2022-09-27 02:32:45,-17.7125,-39.2481,70.72,95,26,1.97,Clouds
177,Progreso,MX,2022-09-27 02:32:45,21.2833,-89.6667,80.71,82,4,9.75,Clear
178,Pisco,PE,2022-09-27 02:32:45,-13.7,-76.2167,62.65,72,100,8.05,Clouds
179,Baruun-Urt,MN,2022-09-27 02:32:45,46.6806,113.2792,70.81,17,74,15.73,Clouds
180,Port Alfred,ZA,2022-09-27 02:32:46,-33.5906,26.891,60.19,97,100,8.01,Rain
181,Talnakh,RU,2022-09-27 02:32:46,69.4865,88.3972,25.27,73,20,2.77,Clouds
182,Faanui,PF,2022-09-27 02:33:46,-16.4833,-151.75,78.42,71,11,14.29,Clouds
183,Derzhavinsk,KZ,2022-09-27 02:33:47,51.1,66.3167,51.01,67,100,16.11,Clouds
184,Flinders,AU,2022-09-27 02:33:47,-34.5833,150.8552,58.62,92,100,3.53,Clouds
185,Ler,SS,2022-09-27 02:33:47,8.3018,30.1418,71.38,84,100,2.59,Clouds
186,Daru,PG,2022-09-27 02:33:47,-9.0763,143.2092,84.02,75,51,12.59,Clouds
187,Logan,US,2022-09-27 02:29:28,41.7355,-111.8344,70.99,41,0,1.01,Clear
188,Ninotsminda,GE,2022-09-27 02:33:48,41.2646,43.5916,43.7,43,0,4.63,Clear
189,Margate,GB,2022-09-27 02:33:48,51.3813,1.3862,51.69,81,50,7.0,Clouds
190,Verkhnyaya Inta,RU,2022-09-27 02:33:48,65.9811,60.3094,29.62,68,9,4.07,Clear
191,Hannibal,US,2022-09-27 02:33:49,39.7084,-91.3585,59.34,49,6,5.95,Clear
192,Eureka,US,2022-09-27 02:30:23,40.8021,-124.1637,59.61,89,43,1.99,Clouds
193,Liusha,CN,2022-09-27 02:33:49,27.2098,108.59,77.68,50,0,6.22,Clear
194,Bom Jesus,BR,2022-09-27 02:33:49,-9.0744,-44.3586,77.77,37,58,1.61,Clouds
195,Nara,JP,2022-09-27 02:33:50,34.6851,135.8049,83.91,53,27,6.55,Clouds
196,Zambezi,ZM,2022-09-27 02:30:56,-13.5432,23.1047,72.82,36,99,3.24,Clouds
197,Shimanovsk,RU,2022-09-27 02:33:50,52.0,127.7,46.09,60,100,12.35,Rain
198,Lago Da Pedra,BR,2022-09-27 02:33:50,-4.3333,-45.1667,75.49,75,32,5.14,Clouds
199,Half Moon Bay,US,2022-09-27 02:30:17,37.4636,-122.4286,67.91,81,100,18.41,Clouds
200,Chekhov,RU,2022-09-27 02:33:51,55.1431,37.4711,33.69,94,25,1.41,Clouds
201,Brindisi,IT,2022-09-27 02:33:51,40.5833,17.6667,67.78,86,98,6.29,Clouds
202,Puerto Ayacucho,VE,2022-09-27 02:33:51,5.6639,-67.6236,76.32,90,92,3.49,Clouds
203,Cartersville,US,2022-09-27 02:33:02,34.1651,-84.7999,65.98,77,0,0.0,Clear
204,Georgetown,MY,2022-09-27 02:30:23,5.4112,100.3354,81.9,88,20,5.99,Clouds
205,Salalah,OM,2022-09-27 02:33:52,17.0151,54.0924,78.89,94,75,6.91,Clouds
206,Kalayaan,PH,2022-09-27 02:33:52,14.35,121.5667,81.39,75,97,3.85,Clouds
207,Palmares Do Sul,BR,2022-09-27 02:33:52,-30.2578,-50.5097,63.73,82,56,3.27,Clouds
208,Harper,LR,2022-09-27 02:33:52,4.375,-7.7169,75.31,90,100,5.35,Rain
209,Sisimiut,GL,2022-09-27 02:31:10,66.9395,-53.6735,43.74,93,100,2.33,Clouds
210,Pevek,RU,2022-09-27 02:33:53,69.7008,170.3133,31.62,72,47,5.12,Clouds
211,Bull Savanna,JM,2022-09-27 02:33:53,17.8868,-77.5902,77.63,88,100,10.67,Rain
212,Cabedelo,BR,2022-09-27 02:32:37,-6.9811,-34.8339,75.87,79,6,12.35,Clear
213,Kota Kinabalu,MY,2022-09-27 02:33:53,5.9749,116.0724,78.78,89,40,2.3,Rain
214,Halifax,CA,2022-09-27 02:33:07,44.6453,-63.5724,61.68,96,23,13.8,Clouds
215,Svetlyy,RU,2022-09-27 02:33:54,54.675,20.1347,44.65,78,100,7.23,Clouds
216,Inyonga,TZ,2022-09-27 02:33:54,-6.7167,32.0667,66.51,57,40,3.8,Clouds
217,Acapulco,MX,2022-09-27 02:33:54,16.8634,-99.8901,82.22,83,100,3.44,Clouds
218,Klyuchi,RU,2022-09-27 02:33:55,52.2667,79.1667,47.07,73,31,9.95,Clouds
219,Chimbote,PE,2022-09-27 02:33:55,-9.0853,-78.5783,61.0,86,62,7.58,Clouds
220,Ambanja,MG,2022-09-27 02:33:55,-13.6833,48.45,70.29,74,76,3.15,Clouds
221,Lompoc,US,2022-09-27 02:33:55,34.6391,-120.4579,66.34,91,100,11.5,Clouds
222,Merritt Island,US,2022-09-27 02:30:02,28.5392,-80.672,80.06,83,20,3.44,Clouds
223,French Harbor,HN,2022-09-27 02:30:01,16.35,-86.4333,81.07,91,20,4.61,Clouds
224,Henties Bay,NA,2022-09-27 02:33:56,-22.116,14.2845,53.76,87,2,8.7,Clear
225,Sudislavl,RU,2022-09-27 02:33:56,57.8817,41.7083,43.66,97,100,2.57,Clouds
226,Dawei,MM,2022-09-27 02:33:57,14.0833,98.2,81.18,82,73,3.53,Clouds
227,Sorland,NO,2022-09-27 02:33:57,67.667,12.6934,50.74,78,99,26.73,Clouds
228,Cockburn Town,TC,2022-09-27 02:33:57,21.4612,-71.1419,82.71,81,31,20.04,Clouds
229,Carupano,VE,2022-09-27 02:34:57,10.6678,-63.2585,78.62,88,92,4.45,Clouds
230,Brownsville,US,2022-09-27 02:32:16,25.9018,-97.4975,76.95,94,0,4.61,Clear
231,Dalvik,IS,2022-09-27 02:34:58,65.9702,-18.5286,35.53,46,3,2.55,Clear
232,Sukumo,JP,2022-09-27 02:34:58,32.9333,132.7333,79.84,79,61,3.65,Rain
233,Paamiut,GL,2022-09-27 02:34:58,61.994,-49.6678,42.06,93,100,32.08,Rain
234,Tamiahua,MX,2022-09-27 02:34:59,21.2667,-97.45,74.46,90,32,6.04,Clouds
235,Dikson,RU,2022-09-27 02:34:59,73.5069,80.5464,32.11,76,94,12.48,Clouds
236,Umm Lajj,SA,2022-09-27 02:34:59,25.0213,37.2685,88.92,33,1,9.51,Clear
237,Pizarro,CO,2022-09-27 02:35:00,4.9533,-77.366,76.93,89,98,2.46,Rain
238,Hobyo,SO,2022-09-27 02:35:00,5.3505,48.5268,76.5,88,15,12.5,Clouds
239,Nguruka,TZ,2022-09-27 02:35:00,-5.1092,31.0419,74.14,41,89,5.57,Clouds
240,Hindaun,IN,2022-09-27 02:35:00,26.7167,77.0167,83.23,61,1,4.7,Clear
241,Changli,CN,2022-09-27 02:35:01,39.7042,119.1506,80.13,35,0,6.98,Clear
242,Santa Rosa,PH,2022-09-27 02:35:01,14.3122,121.1114,90.1,74,100,1.48,Clouds
243,Havre-Saint-Pierre,CA,2022-09-27 02:35:01,50.2334,-63.5986,53.96,94,100,9.22,Clouds
244,Vestmannaeyjar,IS,2022-09-27 02:35:02,63.4427,-20.2734,43.23,51,100,10.8,Clouds
245,Mbuji-Mayi,CD,2022-09-27 02:35:02,-6.15,23.6,72.12,78,73,3.02,Clouds
246,Tabou,CI,2022-09-27 02:35:02,4.423,-7.3528,74.7,92,100,5.17,Rain
247,Dunedin,NZ,2022-09-27 02:31:17,-45.8742,170.5036,60.8,65,100,8.01,Clouds
248,Norrtalje,SE,2022-09-27 02:35:02,59.758,18.705,55.02,92,100,6.22,Clouds
249,Pemangkat,ID,2022-09-27 02:35:03,1.1667,108.9667,83.05,70,100,1.45,Clouds
250,Mosquera,CO,2022-09-27 02:35:03,4.7059,-74.2302,53.69,71,20,4.61,Clouds
251,Caledon East,CA,2022-09-27 02:35:03,43.8691,-79.8669,54.86,88,100,16.49,Clouds
252,Matina,CR,2022-09-27 02:35:04,10.0761,-83.2895,76.71,92,100,4.38,Clouds
253,Ryotsu,JP,2022-09-27 02:35:04,38.0833,138.4333,69.24,69,100,8.05,Clouds
254,Formosa,AR,2022-09-27 02:35:04,-26.1775,-58.1781,63.7,96,0,3.67,Clear
255,Muros,ES,2022-09-27 02:35:05,42.7762,-9.0603,58.15,91,54,5.32,Clouds
256,Yarada,IN,2022-09-27 02:35:05,17.65,83.2667,80.92,94,40,2.3,Mist
257,Tikapur,NP,2022-09-27 02:35:05,28.5,81.1333,80.26,78,0,0.94,Clear
258,Schwerin,DE,2022-09-27 02:35:06,53.6294,11.4132,50.14,95,100,5.01,Rain
259,College,US,2022-09-27 02:32:11,64.8569,-147.8028,46.38,78,75,4.61,Rain
260,Aberdeen,GB,2022-09-27 02:35:06,57.1437,-2.0981,45.5,80,90,13.8,Clouds
261,Puerto Del Rosario,ES,2022-09-27 02:35:06,28.5004,-13.8627,71.35,83,0,16.11,Clear
262,Warwick,US,2022-09-27 02:35:07,41.7001,-71.4162,66.9,84,40,0.0,Clouds
263,Roma,US,2022-09-27 02:32:51,43.2128,-75.4557,54.82,89,20,4.61,Clouds
264,Awbari,LY,2022-09-27 02:35:07,26.5921,12.7805,81.18,25,0,7.63,Clear
265,Asau,RO,2022-09-27 02:35:07,46.4333,26.4,56.32,93,100,1.97,Clouds
266,Votice,CZ,2022-09-27 02:35:08,49.6401,14.6381,49.62,73,100,8.93,Rain
267,Wilmington,US,2022-09-27 02:33:08,34.2257,-77.9447,79.86,78,20,10.36,Clouds
